Date,Time,Random float
9/14/2022,20:35:18,12.351
9/14/2022,20:34:48,75.27
9/14/2022,20:34:17,3.144
9/14/2022,20:33:47,53.433
9/14/2022,20:33:16,25.046
9/14/2022,20:32:46,33.383
9/14/2022,20:32:15,17.048
9/14/2022,20:31:45,6.76
9/14/2022,20:31:15,20.479
9/14/2022,20:30:44,11.265
9/14/2022,20:30:14,56.115
9/14/2022,20:29:43,52.196
9/14/2022,20:29:13,75.24
9/14/2022,20:28:42,36.063
9/14/2022,20:28:12,63.333
9/14/2022,20:27:41,64.01
9/14/2022,20:27:11,59.694
9/14/2022,20:26:40,55.388
9/14/2022,20:26:10,66.779
9/14/2022,20:25:39,21.931
9/14/2022,20:25:09,23.344
9/14/2022,20:24:38,95.17
9/14/2022,20:24:08,45.576
9/14/2022,20:23:37,22.191
9/14/2022,20:23:07,62.82
9/14/2022,20:22:37,21.772
9/14/2022,20:22:06,58.098
9/14/2022,20:21:35,25.485
9/14/2022,20:21:05,34.952
9/14/2022,20:20:35,86.101
9/14/2022,20:20:04,42.308
9/14/2022,20:19:34,46.985
9/14/2022,20:19:03,61.272
9/14/2022,20:18:33,5.078
9/14/2022,20:18:02,92.716
9/14/2022,20:17:32,62.78
9/14/2022,20:17:02,30.986
9/14/2022,20:16:31,2.528
9/14/2022,20:16:00,26.576
9/14/2022,20:15:30,5.687
9/14/2022,20:14:59,61.203
9/14/2022,20:14:29,40.262
9/14/2022,20:13:58,52.37
9/14/2022,20:13:28,86.614
9/14/2022,20:12:57,74.074
9/14/2022,20:12:27,97.569
9/14/2022,20:11:56,7.373
9/14/2022,20:11:26,46.211
9/14/2022,20:10:55,49.186
9/14/2022,20:10:25,63.252
9/14/2022,20:09:54,21.284
9/14/2022,20:09:24,99.733
9/14/2022,20:08:53,38.648
9/14/2022,20:08:22,38.571
9/14/2022,20:07:52,60.591
9/14/2022,20:07:21,20.924
9/14/2022,20:06:51,78.23
9/14/2022,20:06:20,41.176
9/14/2022,20:05:50,10.436
9/14/2022,20:05:19,42.221
9/14/2022,20:04:49,29.773
9/14/2022,20:04:18,40.925
9/14/2022,20:03:48,25.221
9/14/2022,20:03:17,41.203
9/14/2022,20:02:47,13.232
9/14/2022,20:02:16,29.718
9/14/2022,20:01:46,81.411
9/14/2022,20:01:15,53.756
9/14/2022,20:00:45,78.321
9/14/2022,20:00:14,15.518
9/14/2022,19:59:44,51.058
9/14/2022,19:59:13,70.719
9/14/2022,19:58:43,0.183
9/14/2022,19:58:12,76
9/14/2022,19:57:41,83.807
9/14/2022,19:57:11,25.691
9/14/2022,19:56:41,41.039
9/14/2022,19:56:10,94.603
9/14/2022,19:55:40,55.02
9/14/2022,19:55:09,58.29
9/14/2022,19:54:39,6.573
9/14/2022,19:54:08,66.579
9/14/2022,19:53:37,14.076
9/14/2022,19:53:07,8.31
9/14/2022,19:52:36,23.465
9/14/2022,19:52:06,72.38
9/14/2022,19:51:36,67.59
9/14/2022,19:51:05,15.451
9/14/2022,19:50:35,11.535
9/14/2022,19:50:04,98.523
9/14/2022,19:49:34,43.991
9/14/2022,19:49:03,0.641
9/14/2022,19:48:33,29.173
9/14/2022,19:48:02,77.633
9/14/2022,19:47:32,73.125
9/14/2022,19:47:01,71.397
9/14/2022,19:46:31,57.17
9/14/2022,19:46:00,85.318
9/14/2022,19:45:30,59.442
9/14/2022,19:45:00,68.532
9/14/2022,19:44:29,96.499
9/14/2022,19:43:59,80.879
9/14/2022,19:43:28,28.112
9/14/2022,19:42:58,28.561
9/14/2022,19:42:27,19.002
9/14/2022,19:41:57,94.045
9/14/2022,19:41:26,40.661
9/14/2022,19:40:56,5.748
9/14/2022,19:40:25,59.252
9/14/2022,19:39:54,89.073
9/14/2022,19:39:24,38.546
9/14/2022,19:38:53,96.715
9/14/2022,19:38:23,87.792
9/14/2022,19:37:52,38.111
9/14/2022,19:37:22,43.08
9/14/2022,19:36:51,72.82
9/14/2022,19:36:20,93.689
9/14/2022,19:35:50,81.336
9/14/2022,19:35:19,13.661
9/14/2022,19:34:48,74.743
